CH1_mean,CH1_std,CH1_min,CH1_max,CH1_rms,CH1_P_delta,CH1_P_theta,CH1_P_alpha,CH1_P_beta,CH1_P_gamma,CH1_dominant_freq,CH2_mean,CH2_std,CH2_min,CH2_max,CH2_rms,CH2_P_delta,CH2_P_theta,CH2_P_alpha,CH2_P_beta,CH2_P_gamma,CH2_dominant_freq,delta_asymmetry,theta_asymmetry,alpha_asymmetry,beta_asymmetry,gamma_asymmetry,ch_corr_mean,cov_12,eig_cov1,eig_cov2,label
-20.453666666666667,31.948100000000004,-67.27384833333335,35.29285000000001,98.04912036982431,-232.8,208.9199999999999,516.3600000000001,863.6579999999999,422.4000000000002,68.69158878504672,-21.131054545454543,32.2593,-68.44653333333332,28.07351666666666,94.66512186535132,290.29999999999984,-49.51999999999998,62.16000000000008,1145.6082,1117.28,31.141522029372496,-523.0999999999999,258.4399999999999,454.20000000000005,-281.9502,-694.8799999999998,,1030.6233423300002,2061.3435301000004,0.0,NEGATIVE
9.559614814814816,5.625400000000001,-0.6277666666666667,20.292133333333332,18.306609220715888,1175.7400000000002,993.4280000000001,799.1999999999999,4784.691999999999,4065.5600000000004,73.59813084112149,11.155872727272726,6.33467,1.125833333333333,23.000566666666664,17.999798840795165,1258.9689999999996,1165.3999999999999,1421.414,5433.121999999999,4914.988799999999,43.05740987983978,-83.22899999999936,-171.97199999999975,-622.214,-648.4300000000003,-849.4287999999988,,35.635052618,71.77316916890001,0.0,NEUTRAL
-34.4151037037037,29.389000000000003,-80.09616666666669,9.699166666666667,127.54992108310638,168.0,542.0,303.0,-10859.6,5851.160000000002,38.15086782376502,-12.90792727272728,22.178600000000003,-64.58766666666666,26.300683333333335,95.55677178344152,3774.4864,4006.38,3088.46,5827.929999999999,2392.52,0.6008010680907877,-3606.4864,-3464.38,-2785.46,-16687.53,3458.6400000000017,,651.8068754000002,1355.6036189600004,0.0,POSITIVE
-4.633633759259259,32.32520000000001,-64.59902166666663,33.26141666666667,40.747174146873355,580.36,923.0699999999999,950.3599999999997,1959.0820000000003,2193.9800000000005,35.14686248331108,-5.8098,30.0685,-72.99715499999999,31.574250000000003,39.08043006346596,357.71000000000004,687.14,566.354,3014.6857999999993,1387.9540000000006,11.114819759679571,222.64999999999998,235.92999999999995,384.00599999999963,-1055.603799999999,806.0259999999998,,971.9702762000003,1949.0332472900006,0.0,POSITIVE
9.543726481481487,7.892,-12.194416666666664,34.32950000000002,30.392200975053075,1225.0,1038.3,1129.2220000000002,-7157.947999999999,14245.64,39.0520694259012,15.535072727272723,29.364300000000004,-8.5685,39.99625000000001,46.952045818724834,3396.48,2842.2000000000003,1795.176,6719.16,-587.0740000000001,50.56742323097463,-2171.48,-1803.9000000000003,-665.9539999999997,-13877.108,14832.714,,231.74305560000005,924.5457784900002,-1.4210854715202004e-14,NEUTRAL
9.353185185185183,5.236400000000001,-5.390133333333334,23.07191333333333,17.953816304309484,1041.98,1310.206,1476.52,4728.849999999999,4209.44,56.074766355140184,10.555270909090902,6.2571,3.999699999999999,23.17565,18.376011998457514,743.9399999999999,933.72,842.1800000000001,6603.4408,4742.59,18.524699599465954,298.0400000000001,376.4859999999999,634.3399999999999,-1874.5908000000009,-533.1500000000005,,32.764678440000004,66.57118537,3.552713678800501e-15,NEUTRAL
7.4236111111111125,13.359999999999996,-5.964566666666665,20.17003333333334,18.565968169087103,93.14000000000003,669.22,409.22,1494.3539999999998,2045.3999999999999,40.554072096128166,9.449454545454548,9.5829,-12.494753333333334,27.277550000000005,17.439845706156504,490.9200000000001,584.5999999999999,197.2599999999999,2145.21,1790.98,3.004005340453938,-397.78000000000003,84.62000000000012,211.96000000000012,-650.8560000000002,254.41999999999985,,128.02754399999998,270.32157240999993,-1.4210854715202004e-14,POSITIVE
-1.7607407407407405,40.6083,-53.78555000000002,54.686816666666665,31.5272946561124,863.4000000000001,763.9399999999999,539.8000000000001,3280.3999999999996,3368.0,63.58477970627503,-0.3651272727272734,42.279999999999994,-53.184333333333356,53.713600000000014,42.71587580620242,701.8,994.7,461.30000000000007,2525.5,2605.7,36.54873164218959,161.60000000000014,-230.7600000000001,78.5,754.8999999999996,762.3000000000002,,1716.9189239999998,3436.6324288899996,-2.2737367544323206e-13,NEGATIVE
11.940696296296299,13.014170000000002,1.9325333333333352,25.971500000000002,22.68485449392106,982.98,909.7539999999999,1222.158,5670.434000000001,4303.946,3.5046728971962615,5.103072727272726,6.795499999999999,-14.525535,21.663633333333344,18.126006224608485,947.58,676.1400000000001,248.06,-4703.8324999999995,272.89140000000003,64.58611481975967,35.39999999999998,233.6139999999998,974.098,10374.266500000002,4031.0546,,88.43779223499999,215.54744103890002,7.105427357601002e-15,NEUTRAL
-18.777481481481484,23.5915,-55.42168000000002,10.322233333333331,86.04590166472947,362.30000000000007,301.93,581.2099999999999,1673.9,1585.3999999999996,60.68090787716955,-17.541086363636364,22.463899999999995,-58.521133333333324,14.777916666666666,83.58439401527737,559.3799999999999,136.10999999999984,464.00000000000006,1431.3099999999997,623.3000000000002,68.1909212283044,-197.0799999999998,165.82000000000016,117.20999999999987,242.59000000000037,962.0999999999995,,529.9570968499999,1061.1856754599999,1.1368683772161603e-13,NEGATIVE
